iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Rate / Age,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
ABW,Aruba,2020-05-27,101,0,3,0,945.994,0,28.099,0,,,,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,,,,,,,,,
AFG,Afghanistan,2020-05-27,11831,658,220,1,303.917,16.903,5.651,0.026,,,,,,,,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,,,,,,,,,
AGO,Angola,2020-05-27,71,2,4,0,2.16,0.061,0.122,0,,,,,,,,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,,,,,,,,,
AIA,Anguilla,2020-05-27,3,0,0,0,199.973,0,0,0,,,,,,,,,15002,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,2020-05-27,1029,25,33,1,357.565,8.687,11.467,0.347,,,,,,,,,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,,,,,,,,,
AND,Andorra,2020-05-27,763,0,51,0,9875.105,0,660.066,0,,,,,,,,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,,,,,,,,,
ARE,United Arab Emirates,2020-05-27,31086,779,253,5,3143.048,78.763,25.58,0.506,,,,,,,,,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,,,,,,,,,
ARG,Argentina,2020-05-27,13215,600,484,17,292.395,13.276,10.709,0.376,140218,3556,3.102,0.079,3978,0.088,tests performed,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,,,,,,,,,
ARM,Armenia,2020-05-27,7402,289,91,4,2497.947,97.529,30.71,1.35,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,,,,,,,,,
ATG,Antigua and Barbuda,2020-05-27,25,0,3,0,255.29,0,30.635,0,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,,,,,,,,,
AUS,Australia,2020-05-27,7133,15,102,0,279.727,0.588,4,0,1338321,50098,52.483,1.965,32393,1.27,tests performed,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,,,,,,,,,
AUT,Austria,2020-05-27,16497,38,643,2,1831.697,4.219,71.394,0.222,418706,7521,46.49,0.835,5588,0.62,tests performed,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,,,,,,,,,
AZE,Azerbaijan,2020-05-27,4403,132,52,1,434.256,13.019,5.129,0.099,,,,,,,,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,,,,,,,,,
BDI,Burundi,2020-05-27,42,0,1,0,3.532,0,0.084,0,,,,,,,,,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,,,,,,,,,
BEL,Belgium,2020-05-27,57455,113,9334,22,4957.455,9.75,805.376,1.898,,,,,,,,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,,,,,,,,,
